miRNA, /usr/local/miRge/miRge.samples/human_s1.fastq, /usr/local/miRge/miRge.samples/human_s2.fastq
miRNAtotal, 142072, 336748
hsa-let-7a-2-3p, 0, 0
hsa-let-7a-3p, 0, 57
hsa-let-7a-5p/7c-5p, 1473, 27176
hsa-let-7b-3p, 0, 117
hsa-let-7b-5p, 154, 5217
hsa-let-7c-3p, 0, 0
hsa-let-7d-3p, 13, 42
hsa-let-7d-5p, 74, 299
hsa-let-7e-3p, 0, 7
hsa-let-7e-5p, 5, 2085
hsa-let-7f-1-3p, 0, 0
hsa-let-7f-2-3p, 0, 0
hsa-let-7f-5p, 3252, 14142
hsa-let-7g-3p, 0, 4
hsa-let-7g-5p, 508, 1283
hsa-let-7i-3p, 0, 5
hsa-let-7i-5p, 339, 7312
hsa-miR-1-3p, 0, 0
hsa-miR-1-5p, 0, 0
hsa-miR-100-3p, 0, 93
hsa-miR-100-5p, 0, 4503
hsa-miR-101-3p, 138, 433
hsa-miR-101-5p, 2, 0
hsa-miR-103a-2-5p, 0, 0
hsa-miR-105-3p, 0, 0
hsa-miR-106a-3p, 0, 0
hsa-miR-106b-3p, 6, 59
hsa-miR-106b-5p, 9, 28
hsa-miR-107/103a-3p/103b, 260, 531
hsa-miR-10a-3p, 5, 0
hsa-miR-10a-5p, 8124, 5526
hsa-miR-10b-3p, 3, 11
hsa-miR-10b-5p, 6113, 38649
hsa-miR-1178-3p, 0, 0
hsa-miR-1178-5p, 0, 0
hsa-miR-1179, 0, 0
hsa-miR-1180-3p, 0, 8
hsa-miR-1180-5p, 0, 0
hsa-miR-1181, 0, 0
hsa-miR-1182, 0, 0
hsa-miR-1183, 0, 0
hsa-miR-1184, 0, 0
hsa-miR-1185-1-3p, 0, 7
hsa-miR-1185-2-3p, 0, 0
hsa-miR-1185-5p, 0, 5
hsa-miR-1193, 0, 0
hsa-miR-1197, 0, 0
hsa-miR-1199-3p, 0, 0
hsa-miR-1199-5p, 0, 0
hsa-miR-1200, 0, 0
hsa-miR-1202, 0, 0
hsa-miR-1203, 0, 0
hsa-miR-1204, 0, 0
hsa-miR-1205, 0, 0
hsa-miR-1206, 0, 0
hsa-miR-1207-3p, 0, 0
hsa-miR-1207-5p, 0, 0
hsa-miR-1208, 0, 0
hsa-miR-122-3p, 0, 0
hsa-miR-122-5p, 0, 0
hsa-miR-1224-3p, 0, 0
hsa-miR-1224-5p, 0, 0
hsa-miR-1225-3p, 0, 0
hsa-miR-1225-5p, 0, 0
hsa-miR-1226-3p, 0, 0
hsa-miR-1226-5p, 0, 0
